"Fecha/Hora","Valor"
"2025-09-19T05:52:43","158.29"
"2025-09-19T05:52:58","158.33"
"2025-09-19T05:53:14","158.31"
"2025-09-19T05:53:29","158.31"
"2025-09-19T05:53:44","158.29"
"2025-09-19T05:53:59","158.29"
"2025-09-19T05:54:14","158.29"
"2025-09-19T05:54:29","158.33"
"2025-09-19T05:54:44","158.31"
"2025-09-19T05:55:00","158.33"
"2025-09-19T05:55:15","158.29"
"2025-09-19T05:55:30","158.31"
"2025-09-19T05:55:45","158.29"
"2025-09-19T05:56:00","158.27"
"2025-09-19T05:56:15","158.27"
"2025-09-19T05:56:30","158.27"
"2025-09-19T05:56:46","158.27"
"2025-09-19T05:57:01","158.27"
"2025-09-19T05:57:16","158.29"
"2025-09-19T05:57:31","158.29"
"2025-09-19T05:57:46","158.27"
"2025-09-19T05:58:01","158.27"
"2025-09-19T05:58:16","158.27"
"2025-09-19T05:58:32","158.27"
"2025-09-19T05:58:47","158.29"
"2025-09-19T05:59:02","158.27"
"2025-09-19T05:59:17","158.29"
"2025-09-19T05:59:32","158.27"
"2025-09-19T05:59:47","158.27"
"2025-09-19T06:00:02","158.27"
"2025-09-19T06:00:18","158.26"
"2025-09-19T06:00:33","158.27"
"2025-09-19T06:00:48","158.29"
"2025-09-19T06:01:03","158.27"
"2025-09-19T06:01:18","158.26"
"2025-09-19T06:01:33","158.27"
"2025-09-19T06:01:48","158.29"
"2025-09-19T06:02:04","158.27"
"2025-09-19T06:02:19","158.26"
"2025-09-19T06:02:34","158.27"
"2025-09-19T06:02:49","158.29"
"2025-09-19T06:03:04","158.26"
"2025-09-19T06:03:19","158.29"
"2025-09-19T06:03:34","158.27"
"2025-09-19T06:03:50","158.27"
"2025-09-19T06:04:05","158.29"
"2025-09-19T06:04:20","158.27"
"2025-09-19T06:04:35","158.27"
"2025-09-19T06:04:50","158.29"
"2025-09-19T06:05:05","158.27"
"2025-09-19T06:05:20","158.29"
"2025-09-19T06:05:35","158.29"
"2025-09-19T06:05:50","158.31"
"2025-09-19T06:06:05","158.26"
"2025-09-19T06:06:20","158.27"
"2025-09-19T06:06:35","158.29"
"2025-09-19T06:06:51","158.27"
"2025-09-19T06:07:06","158.29"
"2025-09-19T06:07:21","158.29"
"2025-09-19T06:07:36","158.27"
"2025-09-19T06:07:51","158.29"
"2025-09-19T06:08:06","158.29"
"2025-09-19T06:08:21","158.29"
"2025-09-19T06:08:36","158.29"
"2025-09-19T06:08:52","158.27"
"2025-09-19T06:09:07","158.29"
"2025-09-19T06:09:22","158.29"
"2025-09-19T06:09:37","158.29"
"2025-09-19T06:09:52","158.29"
"2025-09-19T06:10:07","158.29"
"2025-09-19T06:10:22","158.29"
"2025-09-19T06:10:38","158.27"
"2025-09-19T06:10:53","158.29"
"2025-09-19T06:11:08","158.29"
"2025-09-19T06:11:23","158.29"
"2025-09-19T06:11:38","158.27"
"2025-09-19T06:11:53","158.27"
"2025-09-19T06:12:08","158.27"
"2025-09-19T06:12:24","158.27"
"2025-09-19T06:12:39","158.27"
"2025-09-19T06:12:54","158.29"
"2025-09-19T06:13:09","158.27"
"2025-09-19T06:13:24","158.29"
"2025-09-19T06:13:39","158.27"
"2025-09-19T06:13:54","158.29"
"2025-09-19T06:14:10","158.27"
"2025-09-19T06:14:25","158.31"
"2025-09-19T06:14:40","158.27"
"2025-09-19T06:14:55","158.29"
"2025-09-19T06:15:10","158.27"
"2025-09-19T06:15:25","158.27"
"2025-09-19T06:15:40","158.29"
"2025-09-19T06:15:55","158.27"
"2025-09-19T06:16:10","158.27"
"2025-09-19T06:16:25","158.29"
"2025-09-19T06:16:41","158.29"
"2025-09-19T06:16:56","158.31"
"2025-09-19T06:17:11","158.31"
"2025-09-19T06:17:26","158.31"
"2025-09-19T06:17:41","158.33"
"2025-09-19T06:17:56","158.33"
"2025-09-19T06:18:11","158.31"
"2025-09-19T06:18:27","158.31"
"2025-09-19T06:18:42","158.33"
"2025-09-19T06:18:57","158.33"
"2025-09-19T06:19:12","158.33"
"2025-09-19T06:19:27","158.33"
"2025-09-19T06:19:42","158.34"
"2025-09-19T06:19:57","158.33"
"2025-09-19T06:20:13","158.33"
"2025-09-19T06:20:28","158.33"
"2025-09-19T06:20:43","158.33"
"2025-09-19T06:20:58","158.36"
